doi,scopus_eid,scopus_citas,scopus_tipo_doc,scopus_keywords,scopus_abstract,scopus_issn,scopus_revista
10.7440/antipoda43.2021.01,2-s2.0-85104704748,4,Article,Creative resources; Experiences; Future; Latin America; Multi-sited ethnography; Transnational migration,"This article is intended to understand the experiences and creative, individual and collective strategies of transnational migrants during their displacement and settlement into places of residence. It analyzes the practices that re-create and configure in the twenty-first century forms of inserting and rooting themselves in the receiving countries, through transformations and continuities that lead to the configuration of possible futures. We focus on how migrants re-constitute themselves as subjects based on a series of ways of being and belonging in more than one nation-state, and how they navi-gate towards horizons of security, well-being, and recognition by exploring strategies that link nodes, flows, structures, and processes over long distances that imply immediacy, simultaneity, and participation in different interacting circuits. Four dimensions of analysis are considered: a) dynamics of organization and collective action, b) visibility of cultural practices in the formation of communities, c) construction of creative resources, and d) individual strategies for possible futures. Accordingly, a series of ethnographic findings are presented in which subjectivities are made visible as daily experiences projected by migrants in transnational scenarios. Finally, it is important to highlight the multi-sited approach as a methodological strategy in analyzing and interpreting migratory phenomena over long geographic distances.",20114273 19005407,Antipoda
10.35362/rie8614415,NA,NA,NA,NA,NA,NA,NA
10.1002/jcop.22421,2-s2.0-85089256837,5,Article,joint action; memory transmission; poor urban neighborhoods,"In Latin America, one of the key tasks of Community and Liberation Psychology has been to recover the memories of marginalized and excluded communities that have experienced multiple pasts marked by political violence. In Chile, researchers have focused on poor urban neighborhoods, where the question of how memories are transmitted in areas where conflicts and violence are still present has been overlooked. In this context, the following article aims to analyze the ways in which memories are transmitted in a neighborhood that has a long organizational history in the struggle against social inequalities; while at the same time being classified as a critical area by the state due to its current levels of violence and social conflict. The researchers led a 3-year case study from an ethnographic perspective, and applied a collaborative methodology that brought together the research team and the members of a territorial organization. The analysis is based on 72 interviews, 5 conversation groups and ethnographic observation. The data was analyzed using discourse analysis. The results revealed that the main form of memory transmission is not based on intergenerational narratives of the past, but rather on joint action; namely, dialogical practices among neighborhood residents that generate an ethos; a common way of life.",15206629 00904392,Journal of Community Psychology
10.53689/ea.v13i2.180,NA,NA,NA,NA,NA,NA,NA
10.1038/s41598-021-88314-4,2-s2.0-85105459494,36,Article,NA,"This paper examines whether compliance with COVID-19 mitigation measures is motivated by wanting to save lives or save the economy (or both), and which implications this carries to fight the pandemic. National representative samples were collected from 24 countries (N = 25,435). The main predictors were (1) perceived risk to contract coronavirus, (2) perceived risk to suffer economic losses due to coronavirus, and (3) their interaction effect. Individual and country-level variables were added as covariates in multilevel regression models. We examined compliance with various preventive health behaviors and support for strict containment policies. Results show that perceived economic risk consistently predicted mitigation behavior and policy support—and its effects were positive. Perceived health risk had mixed effects. Only two significant interactions between health and economic risk were identified—both positive.",20452322,Scientific Reports
10.1016/j.scitotenv.2020.143999,2-s2.0-85097773458,44,Article,Coastal zone governance; Conflicts and perceptions; DPSIR; Salmon and mussel farming; Social actors; Social-ecological systems,"Coastal zones are complex systems where sustainability needs local participative governance, whose absence may result in conflicts between social actors. In its absence, the first step should be a diagnosis of the current situation based on integrative conceptual frameworks such as the DPSIR. However, in conflicting situations, the generated model needs validation from social actors. Chiloé Island is a critical Chilean coastal fishery and aquaculture area, coexisting with subsistence and cultural uses of marine resources. This article analyzes the current ecological state of the Chiloé coastal zone and its main social-ecological impact using a DPSIR model. We validated its results through a household survey and interviews with local experts and social actors. Results show that increased coastal fisheries and aquaculture generate a critical decrease of coastal species, eutrophication, and pollution that, along with harmful algal blooms, generate conflicts. Social validation showed that experts and local social actors have different perceptions of conflicting parties and conflict solutions. Following a post-normal approach, we propose three ideas to start social-ecological governance of Chiloé coastal marine ecosystems.",18791026 00489697,Science of the Total Environment
10.1016/j.jad.2021.01.049,2-s2.0-85101302236,160,Article,COVID-19; Emotion; Mental health; Risk perception,"Background: Although there are increasing concerns on mental health consequences of the COVID-19 pandemic, no large-scale population-based studies have examined the associations of risk perception of COVID-19 with emotion and subsequent mental health. Methods: This study analysed cross-sectional and longitudinal data from the PsyCorona Survey that included 54,845 participants from 112 countries, of which 23,278 participants are representative samples of 24 countries in terms of gender and age. Specification curve analysis (SCA) was used to examine associations of risk perception of COVID-19 with emotion and self-rated mental health. This robust method considers all reasonable model specifications to avoid subjective analytical decisions while accounting for multiple testing. Results: All 162 multilevel linear regressions in the SCA indicated that higher risk perception of COVID-19 was significantly associated with less positive or more negative emotions (median standardised β=-0.171, median SE=0.004, P<0.001). Specifically, regressions involving economic risk perception and negative emotions revealed stronger associations. Moreover, risk perception at baseline survey was inversely associated with subsequent mental health (standardised β=-0.214, SE=0.029, P<0.001). We further used SCA to explore whether this inverse association was mediated by emotional distress. Among the 54 multilevel linear regressions of mental health on risk perception and emotion, 42 models showed a strong mediation effect, where no significant direct effect of risk perception was found after controlling for emotion (P>0.05). Limitations: Reliance on self-reported data. Conclusions: Risk perception of COVID-19 was associated with emotion and ultimately mental health. Interventions on reducing excessive risk perception and managing emotional distress could promote mental health.",15732517 01650327,Journal of Affective Disorders
10.1016/j.jasrep.2021.103171,2-s2.0-85114490465,13,Article,Ancient health; Coprolites; Diet; Helminths; Northern Chile; Parasitism,"Paleoparasitological studies have provided insights into ancient parasite occurrence and its relationship to the health, lifestyle, and cultural practices of past populations. We analyzed 26 human coprolites and digestive tract contents, most of them contained in mummified human bodies, from coastal and inland archaeological sites in the Atacama Desert (3000–500 BP), to test for gastrointestinal parasites. We rehydrated and sedimented the samples to concentrate the micro-remains and then conducted light microscopy examination and paleogenetic analysis. The microscopy analysis allowed us to recover helminth eggs of five different taxa in seven samples, attributed to Diphyllobotrium sp., Dipylidium caninum, Enterobius vermicularis, Trichuris sp., and possible strongylid. PCR amplification yielded negative results in all cases. Results suggest a low parasite burden relating to infection with pinworms, whipworms, and possible strongylids, as well as an absence of infection in most of the individuals. The presence of Diphyllobotrium sp. in coastal sites is associated with the consumption of insufficiently cooked fish resources. The occurrence of D. caninum in an inland site may indicate cohabitation with dogs and/or wild canids. These findings contribute to knowledge of parasite occurrence in human groups from the southern Andes and its relationship with the environment and the cultural practices involved.",2352409X,Journal of Archaeological Science: Reports
10.4067/S0718-22362021000300004,NA,NA,NA,NA,NA,NA,NA
10.5380/DMA.V58I0.71047,2-s2.0-85117241513,0,Article,Deep ecology; Environmental conservation; Nature; Patagonia; Rurality,"An anthropological analysis of territorial rewriting processes in Chilean Patagonia, specifically in the Aysén region, is presented. The central thesis maintains that the presence of new non-state actors, with ownership of the land and ecosystems, and with philosophical orientations of deep ecology, generates new conditions for environmental conservation and redefines the position of traditional inhabitants, producers linked to family farming. It is critically posited that the new valuation languages operate as a political expression of power and authority, which severely impacts the possibility of reproduction of domestic units, which need ample feeding spaces for their livestock and the native forest for protection. In this way, the traditional space of daily life loses regularity due to the creation of private parks, since they have non-productive purposes and incorporate post-humanist values. Likewise, through ethnographic records, a gradual process of territorial denationalization, absence of local sovereignty and difficulties for the reproduction of the rural culture of Patagonia is verified, which make it difficult to imagine the future by the productive units.",21769109 1518952X,Desenvolvimento e Meio Ambiente
10.4067/S0717-73562021005001701,2-s2.0-85126664351,15,Article,Diet; Human tooth calculus; Marine hunter gatherers; Middle/late holocene; Paleoethnobotany; Western patagonian channels,"This paper presents the results of the study of the microfossil content of the human dental calculus of 49 individuals from 17 archaeological sites of the Chiloé and Los Chonos archipelago with chronologies between ~4400 to 300 years cal BP. The previous δ13C and δ15N stable isotope values of the inhabitants of this area revealed an eminently marine diet for these hunter gatherers. Nevertheless, in relation to their predominant diet, the consumption of plant resources has remained unseen. The integration of this type of evidence has allowed us to detect the consumption of seaweed, wild and domesticated plants, some with medicinal and psychoactive properties, in addition to the functional use of the oral cavity based on the presence of remains of plant stems used in basketry. Finally, the presence of domesticated plants in the northern archipelagos constitutes a bio-indicator of archaeological remains that allows us to project contacts between different cultural pathways of the marine hunter gatherers and horticultural groups throughout the temporal sequence.",07177356 07161182,Chungara
10.1371/journal.pone.0256740,2-s2.0-85117694703,101,Article,NA,"During the initial phase of the COVID-19 pandemic, U.S. conservative politicians and the media downplayed the risk of both contracting COVID-19 and the effectiveness of recommended health behaviors. Health behavior theories suggest perceived vulnerability to a health threat and perceived effectiveness of recommended health-protective behaviors determine motivation to follow recommendations. Accordingly, we predicted that—as a result of politicization of the pandemic—politically conservative Americans would be less likely to enact recommended health-protective behaviors. In two longitudinal studies of U.S. residents, political conservatism was inversely associated with perceived health risk and adoption of health-protective behaviors over time. The effects of political orientation on health-protective behaviors were mediated by perceived risk of infection, perceived severity of infection, and perceived effectiveness of the health-protective behaviors. In a global cross-national analysis, effects were stronger in the U.S. (N = 10,923) than in an international sample (total N = 51,986), highlighting the increased and overt politicization of health behaviors in the U.S.",19326203,PLoS ONE
10.1017/9781108766616.006,2-s2.0-85193599422,0,Book Chapter,NA,"Research in colonial and convent archives reveals that women wrote much more than has been acknowledged to date. Within these writings, a first distinction can be made: firsthand accounts by women (letters, cloister writings) and texts written for women by others. The latter include legal claims and wills that, while written by others and following the typical regulations of the discourse to which they belong, offer accounts, and contribute to our knowledge, of these women’s reality.",NA,A History of Chilean Literature
10.1080/2159032X.2022.2110375,2-s2.0-85136231235,6,Article,Aymara; Chile; Climate change; Critical heritage studies; Environmental social science‌; Indigenous heritage; Indigenous Studies‌; Quechua,"Climate change has become the largest threat to cultural heritage in the twenty-first century. While it is known that the world’s most vulnerable populations, including Indigenous peoples, will disproportionately face the effects of climate change, there is less knowledge of the wider cultural frameworks that influence Indigenous understandings of climate change. This article seeks to understand the local perceptions of natural and anthropogenic climate change and its impact on heritage among contemporary indigenous or originario peoples in small oases in the Atacama Desert of Chile’s Tarapacá region. Theories from critical heritage studies are used to explore the impacts of both anthropogenic and natural climate change on what is understood as Indigenous heritage. The authors examine how these changes have intersected with national and regional socio-political events in the past century to impact contemporary Indigenous identities in the communities of Pica and Matilla. Semi-structured interviews and oral histories were discontinuously conducted between March 2016 and April 2018 and included lay Aymara and Quechua community members as well as the representatives of local organizations such as Neighbour Councils and Indigenous Development Areas (ADIs) in the communities. These accounts illustrate how recent climate change is being used as a rhetorical device to facilitate the revitalization and regeneration of local ethnicities in northern Chile today. Furthermore, the article demonstrates the value of originario knowledge in understanding the nuances of local cultural context and how essential it is in the implementation of environmental and heritage policies in the wider Chilean context.",21590338 2159032X,Heritage and Society
10.4324/9781003090519-101,2-s2.0-85138975998,0,Editorial,NA,"This introductory chapter opens with art and Black creative works of Abiayala. La nia negra y el espejo, a poem performed by two Afro-Ecuadorian influencers and written by Afro-Colombian poet Jenny Tenorio, serves as the theoretical framework guiding our analysis. In three parts, the chapter grows the roots that sustain the labor of this collective volume. In the first part, we forefront Abiayala as a means to suspend the coloniality of the 'Americas' in order to engage renewed continental concepts for thinking us beyond the salvific North in migration matters. In part two, we prioritize youth as a liberatory act that frees the discussion of education from its conscripted structures and obsolete processes. A focus on young people breathes life into forms of thinking and imagining educational dynamics infused by youthful forms of life in movement. In part three, we turn to movement to dislodge the notion of migration and instead propose pueblo, pueblear, the practice of being Abiayala. Pueblear articulates the mobilizing intentions in this volume to give life and keep (a)live in movement, the movement of people across space and time.",NA,Interrogating the Relations between Migration and Education in the South: Migrating Americas
10.7764/69.10,2-s2.0-85139934845,0,Article,archaeology; Atacama Desert; Interculturality; landscape,"Quillagua is a small oasis found next to the Loa River. Ethnohistory note the coexistence of indigenous populations from different cultural traditions in this space. Picas had territorial rights in one direction from a brushed and painted wooden post, while Atacamas held the land upwards. These categories were not geographic but instead indications of dual social organization. Here, we investigate the material and visual expressions of this tense intercultural occupation, focusing specifically on the archaeological record after AD 900, when these actors developed numerous social-political exercises, through the construction of a visual landscape.",07187181 05683939,Aisthesis
10.26489/rvs.v34i48.7,NA,NA,NA,NA,NA,NA,NA
10.1590/s0102-6992-202136030008,2-s2.0-85123524513,18,Article,Argen-tina; Bolivia; Chile; Humanitarian crisis; Migration policies; South America; Venezuelan migration,"The objective of the article is to analyze the exodus of people from Venezuela, the most relevant migratory and humanitarian crises in Latin America in the last five years. An analysis of the evolution of migration policies in Chile, Argentina and Bolivia is carried out, based on a legislative review, policy analysis and a study on the institutional measures adopted by each country. Although there is an emerging international political coordination, the various particularities in force in each are also marked. The existence of State policies focused on migration issues such as in Chile and Argentina, as well as the circumstantial reaction of cases such as Bolivia, have been a fundamental key in the exercise of efforts and international cooperation. Venezuelan migration has become a priority in South America, implementing particular policies that are not enough, requiring greater regional coordination and collaboration, which has become more complex since 2020 given the health crisis caused by the Covid epidemic-19, which generated the closure of national borders.",01026992,Sociedade e Estado
10.5354/0719-0581.2021.59925,NA,NA,NA,NA,NA,NA,NA
10.4067/s0071-17132021000200069,2-s2.0-85124454616,1,Article,English as a foreign language; Indigenous languages; Language planning; Language policy,"The aim of this article was to analyze public education policies for language teaching in Chile, from the perspective of language planning and policies in the ecology of languages. This qualitative documentary study, of a descriptive and interpretative nature, analyses the Supreme Education Decrees of the Indigenous Language program and the English Language program, based on the ten levels of language planning in its four phases proposed by Chua and Baldauf (2011). The results reveal that, although Chile is considered a multilingual country, the teaching of indigenous languages is limited and restricted in its development, being mostly driven over time from micro planning (below) to supra-micro planning (above) and, that political, economic and social resources are oriented towards the teaching of English, from the supra-macro planning phase (above) to infra-macro planning (below).",07176171 00711713,Estudios Filologicos
10.7764/cdi.50.27755,2-s2.0-85128163933,0,Article,content analysis; media and feminist perspectives; print media; women and finance,"From a feminist approach applied to communication, this paper explores the social representations on the relationship between women and finance in the online press in Chile. For this purpose, we conducted a qualitative content analysis on a corpus of 59 press releases published in online newspapers currently in force in Chile. The results present two assumptions that circulate in the public discussion and that seek to explain women's financial behavior, namely: the weight of the family in women's economic decisions and their financial risk-averse behavior. These assumptions are discussed based on the contributions of a feminist approach applied to communication in order to explore how these representations of women in the financial market remain anchored to traditional gender roles, without reflecting the complexity of women's financial reality, its socioeconomic determinants and the links between finance and the new modes of exploitation of women's bodies.",0716162X 07193661,Cuadernos.info
10.5354/0719-0527.2021.65874,NA,NA,NA,NA,NA,NA,NA
10.4067/S0717-73562021005001801,2-s2.0-85126688359,2,Article,Formative period; Materialist feminism; Sex-age structure; Sexual politics; Social reproduction,"In this paper we propose explanatory hypotheses about the sexual politics that were from time to time implemented in the configuration of the Pampa del Tamarugal formative community, with the aim to contribute to the archaeological study of social reproduction. The bioanthropological collections of the Tarapacá 40 Cemetery underwent an osteological survey, designed to identify their sexual and age structure. A significant number of contextual references were recovered, and an exploratory analysis of the variation in the sex-age structure of some cemeteries in the region was carried out. The results show a cemetery with all age ranges and a 1:1 sex ratio. On a regional scale, a dichotomous distribution was observed between archaic and formative cemeteries, based on the ratio between adult women and non-adults. We propose that social relations of reproduction and sexual division of labor between the late archaic and the formative society underwent radical transformations, the most direct impact of which could be the social control of female sexuality through the establishment of a kinship-based socio-political regime.",07177356 07161182,Chungara
10.1016/j.chiabu.2021.105046,2-s2.0-85103790294,10,Article,Adolescents; Intimate partner violence exposure; Maltreatment; Poly-victimization,"Background: Previous studies have found a high co-occurrence between Intimate Partner Violence exposure (IPVe) and other forms of victimization, such as physical and sexual abuse, yet little is known about this issue from community samples in Latin America or –in particular– Chile. Objective: To examine the prevalence, sociodemographic correlates and co-occurrence of IPVe with other youth victimizations in Chile. Participants and setting: A secondary data analysis of the First Poly-victimization Survey in Children and Adolescents in Chile was conducted, which had 19,684 responses from 7th to 11th grade students attending publicly-funded, subsidized and independent schools in urban areas across the country. Methods: The Juvenile Victimization Questionnaire was applied, and sociodemographic information was collected. Multiple logistic regression models were used. Results: The prevalence of lifetime IPVe was 13.0 % (95 % CI [12.4–13.6]), and 3.6 % (95 % CI [3.4–4.0]) for past-year IPVe. The factors that were positively associated with lifetime IPVe were: female, over 14 years old, indigenous ethnicity, with a disability, mother with immigrant status, living with only one parent, and attending publicly-funded and subsidized schools. Most of these associations were maintained for past-year IPVe. All victimizations studied were positively associated with lifetime and past-year IPVe. Poly-victimization, maltreatment and witnessing sibling abuse showed the strongest associations (adjusted OR > 4.0). Co-occurrence was particularly high among IPVe youth, especially for community violence (86.2 %) and any maltreatment (81.5 %) in lifetime reports. Conclusions: An integrated approach to assessing IPVe and other forms of victimizations would enrich research and clinical practice, especially early detection of IPVe occurrences.",18737757 01452134,Child Abuse and Neglect
10.7440/colombiaint106.2021.04,2-s2.0-85105172513,25,Article,Chile; Citizenship; Human rights; International migration; Migration law; Migration policy; Sovereignty,"Objective/Context:Internationalmigrationsopenthedebateoncitizenship, inclusion, and human rights, as well as sovereignty, national security, and selectivity. Chile is not oblivious to these tensions, challenges, and opportunities. Addressing the period from the 1990s to the present day, we analyze international migration narratives and how they are expressed by the country's Department of Foreign Affairs and Migration. Methodology: We use a qualitative method and case study to examine the historical and political factors in depth. Similarly, the historical analysis we include shows the continuities and changes in international migration's conceptualization and laws. Conclusions: There is a struggle to define the national/international limits that permeates the discussions on citizenship and international migration. Likewise, visions focused on national security compete against others focused on rights. We believe that after the social outbreak in Chile, there is a new structure of political and social opportunities to discuss a migration law and a Constitution that addresses the rights of migrants, rules of due process, mechanisms for social and political participation. Originality: This article discusses the recognition and representation of emerging citizenship, a fundamental theme in the increasingly numerous multicultural societies of the 21st century. Likewise, an international and political perspective, rarely used in migration studies, particularly in Chile, is included.",19006004 01215612,Colombia Internacional
10.16888/interd.2021.38.3.17,NA,NA,NA,NA,NA,NA,NA
10.1111/chso.12458,2-s2.0-85116227605,11,Article,child voice; narrative; psychotherapy; qualitative longitudinal research; sexual abuse,"The concept of ‘child voice’ is examined through a longitudinal narrative case-based analysis of interviews and drawings with an 8-year-old Chilean girl, who was in psychotherapy following sexual abuse, alongside interviews with her mother and therapists. Prompted by the child's description of herself through the neologism of the opinista—one who has opinions—the analysis encompasses diverse narratives of a critical moment in therapy, illuminating the complexity and entangled relationality of ‘child voice’. Moving beyond an individualizsed conception of ‘voice’ makes it possible to account for relationality without privileging adult articulations of children's experiences—allowing the opinista to be heard.",10990860 09510605,Children and Society
10.5294/laclil.2021.14.1.4,NA,NA,NA,NA,NA,NA,NA
10.7440/antipoda45.2021.03,2-s2.0-85120310446,20,Article,Chile; Community care; Coping; COVID-19 pandemic; Social organization; Social outbreak,"The purpose of this article is to characterize the community care actions that have been part of the coping strategies adopted during the SARS-CoV-2 pandemic in the Independencia commune in Santiago, Chile. Despite the fact that the organized community mobilized resources and worked tirelessly to sustain life from the very beginning of the pandemic, the authorities have insisted on blaming the population for the spread of the virus, pointing to an alleged neglect of care. As part of a qualitative case study, intended to characterize community response to the pandemic, twelve semi-structured interviews were held with members of different social organizations in Independencia, along with a number of ethnographic visits. The analysis characterizes the territory, and addresses the social consequences left by the pandemic, the community actions taken in this context, and the community’s assessment of these. The results allow us to sustain that organizational logics have changed in Independencia since the so-called Chilean Estallido Social or Social Outburst which took place in October 2019, and, in this context of socio-political crisis and deficient state response, the health emergency is being dealt with by means of community care actions. We conclude that people respond to the consequences of the pandemic collectively, through actions intended to sustain life, and to constitute a political praxis derived from the revitalization of the community fabric as a result of the social outbreak. The originality and contribution of this article is that it addresses an experience that encourages reflection on the importance of care in sustaining a community. It points to an anthropology of community care that promotes and disseminates the possibilities of a caring social life, understanding that we exist in a world that requires extensive reparations.",20114273 19005407,Antipoda
10.6018/analesps.429651,2-s2.0-85099002758,4,Article,Child abuse; Child perspectives; Domestic violence; Gender-based intimate partner violence; Narratives,"Growing up in the context of gender-based intimate partner violence (IPV) has been associated with mental health problems in children yet little is known about IPV effects on children from their own point of view. The aim of this research was to understand the psychological impact associated with living in an environment with IPV, from the perspective of children. Semi-structured interviews were conducted with 3 boys and 5 girls, between 8 and 12 years old, who were attending psychosocial pro-grams specialized in maltreatment and experimented different forms of chronic IPV at home. The interviews were analyzed using narrative analy-sis. The results show that growing up in an environment with IPV has a psychological impact on children’s emotional wellbeing and family rela-tionships, and in some cases on their self-concept. We conclude that IPV experiences had a profound impact on the participants’ wellbeing, affecting various areas of the children’s lives. The results highlight the importance of understanding the effects of IPV from the children’s perspective, in order to develop clinical interventions in accordance with their needs.",16952294 02129728,Anales de Psicologia
10.1002/acr.24256,2-s2.0-85109824615,3,Article,NA,"Objective: Sjögren’s syndrome (SS) challenges everyday functioning and well-being. The aim of this study was to structure and summarize the life experiences of Chilean women with SS in an integrated model. Methods: Interviews from a previous study yielded 75 experiences of living with SS. A sample of 30 women with SS sorted these experiences by content and rated their level of agreement with each experience. A hierarchical cluster analysis was used to structure the experiences of the participants with SS in a comprehensive overview. A team-based consensus analysis was used to define the number of clusters. The level of agreement was examined with Wilcoxon’s signed rank test. Results: Ten clusters were identified and grouped into 6 main categories: symptoms (clusters: mucosal dryness and related symptoms), social environment, emotion management (clusters: fears and sadness), information (clusters: uncertainty and lack of knowledge), coping strategy (clusters: resilience and self-care), and health staff relationship. The clusters that describe the more common experiences among patients were resilience, self-care, uncertainty, lack of knowledge, health staff relationship, and mucosal dryness. Conclusion: This study provided an integrated and structured overview of disease experiences comprising both biomedical and psychosocial aspects as being of vital importance for the health of patients with SS. The overview can be used to get a quick impression of disease experiences that are important for an individual patient, in a therapeutic goal setting, and in the construction and evaluation of medical and nonmedical interventions or education.",21514658 2151464X,Arthritis Care and Research
10.14507/epaa.29.5953,2-s2.0-85120699820,5,Article,Heterocisnormativity; LGTB+; Sexism; Sexual education; Sexualities,"In recent years, the visibility of LGTB+ people and groups in the educational field in Chile has increased. Demands related to sexual diversity in education are usually articulated around the idea of inclusion of LGTB+ students. In this article we analyze discourses and practices regarding LGTB+ inclusion in the Chilean public educational system, based on individual and group interviews conducted between 2018 and 2019 with diversity practitioners and students in the regions of Santiago, Valparaíso, and Concepción. Our objective is to problematize liberal uses of inclusion and its negative effects when it comes to affirming and effectively supporting sexual diversity and dissidence at school. The main results of the discourse analysis are presented in four axes: tensions in the implementation of educational practices of inclusion; moral panics and heterocisnormative fixations; identarian and reductionist interventions; and destabilizing borders through LGTB+ activisms.",10682341,Education Policy Analysis Archives
10.7764/pel.58.1.2021.10,2-s2.0-85120050280,1,Article,Higher education; Innovation; Knowledge society; Transdiscipline; Universidad de Chile,"Amidst contemporary social transformations, including the new role adopted by universities, transdisciplinarity has been gaining increasing recognition as an approach to understanding phenomena that cannot be addressed by the traditional model of disciplinary specialization: these include climate change, inequality, or, more recently, pandemics. However, there is little study of specific experiences that help to understand the implications, purpose, and challenges of adopting a transdisciplinary approach in universities. In order to reduce this gap, this article analyses the results of a participatory dialogue carried out in Universidad de Chile, examining different narratives regarding the emergence of transdisciplinarity and the associated opportunities and obstacles. These, in turn, relate to the historical, organizational, and cultural dynamics of the trajectory adopted by this institution, and the higher education sector in general, in the country: i) the social commitment, inscribed in the tradition and academic mission of the public university; ii) a promise of novelty, innovation, and transformation of scientific and academic work, associated with the emerging model of an entrepreneurial university; and, iii) the growing demand for a profound reform of the higher education system in the country.",07190409 07171013,Pensamiento Educativo
10.1002/9781119316916.ch10,2-s2.0-85153441920,0,Book Chapter,NA,"This chapter presents urban environmental problems within cities and links them to their social and political dimensions using the metaphor of urban metabolism. Conceptualisation of the city as an organism helps to explain how the extraction, use, and circulation of natural resources through and by urban hubs causes environmental problems on the local, regional, and global scales. The chapter delves into how the environmental problems that cities generate or contribute to are transformed into environmental risks and hazards for the cities themselves and for their inhabitants. It focuses on urban environmental justice, central to urban sustainability debates, and revisits the movement that links it to urban struggles and the resignification of the urban environment. The notion of resilience has become increasingly popular in efforts to plan for more ‘sustainable’ cities and their adaptation to climate change. The chapter proposes possible urban futures of sustainability, resilience, and justice in a context of environmental uncertainty.",NA,Companion to Urban and Regional Studies
10.1007/978-3-030-61667-0_4,2-s2.0-85144437943,2,Book Chapter,Curriculum studies; International conversation; Latin American curriculum thinking; Mestizo Latinoamericano; Transnational curriculum inquiry,"Addressing the possibility of building a worldwide interdisciplinary field of curriculum studies, beyond the limits of Eurocentric modernity and its educational deployment, this work aims to critique modernity as educational project drawing on the mestizo latinoamericano as its dialectical image; as well as, to connect this critique to the larger project of decolonization of academic educational fields, bringing the Latin American thinking of liberation into the conversation of the internationalization of Curriculum Studies. Therefore, the mestizo latinoamericano’s existential hybrid resonates with curriculum studies’ own hybrid character. Such a resonance may well help in thinking an already begun-ongoing-unfinished international conversation in curriculum inquiry informed by dialogical encounters.",27316394 27316386,Curriculum Studies Worldwide
10.3233/JAD-201580,2-s2.0-85106913753,81,Article,Behavioral symptoms; caregiver; COVID-19; dementia; social isolation,"Background: People with dementia and their family caregivers may face a great burden through social isolation due to the COVID-19 pandemic, which can be manifested as various behavioral and clinical symptoms. Objective: To investigate the impacts of social isolation due to the COVID-19 pandemic on individuals with dementia and their family caregivers. Methods: Two semi-structured questionnaires were applied via telephone to family caregivers of people diagnosed with dementia in three cities in Argentina, Brazil, and Chile, in order to assess clinical and behavioral changes in people with dementia and in their caregivers. Results: In general, 321 interviews were conducted. A significant decline in memory function has been reported among 53.0%of people with dementia. In addition, 31.2%of individuals with dementia felt sadder and 37.4%had increased anxiety symptoms. These symptoms of anxiety were greater in individuals with mild to moderate dementia, while symptoms of agitation were greater in individuals with severe dementia. Moreover, compulsive-obsessive behavior, hallucinations, increased forgetfulness, altered appetite, and increased difficulty in activities of daily living were reported more frequently among individuals with moderate to severe dementia. Caregivers reported feeling more tired and overwhelmed during this period and these symptoms were also influenced by the severity of dementia. Conclusion: Social isolation during the COVID-19 pandemic triggered a series of negative behavioral repercussions, both for people with dementia and for their family caregivers in these three South American countries.",18758908 13872877,Journal of Alzheimer's Disease
10.4067/S0718-07052021000100281,2-s2.0-85106619834,3,Article,child and adolescent participation; educación ambiental; environmental education; environmental knowledge; environmental prospective; niñas y adolescentes; participación de niños; prospectiva ambiental; saber ambiental,"Given the current climate crisis, there is a tension between hopeful, catastrophic and denialist visions of the future. Environmental education fields have promoted constructive visions of the future in which, as a result of collective action, the effects of climate change are mitigated, and communities adapt to new subsistence conditions. This qualitative study reports a prospective analysis of environmental education, based on letters from 150 schoolchildren who participate in a local Chilean program. In this regard, they point out a pool of measures: sustainable management actions; care and preservation of the environment; communication and social organization; and (self)education. They also distinguish certain glocal problems, actors and places that must be considered in the construction of tomorrow. Is discussed the importance of taking these suggestions in political terms and of offering more and better spaces to prefigure the environmental future they want to live.",07180705 0716050X,Estudios Pedagogicos
10.1007/s13412-020-00639-0,2-s2.0-85094898853,51,Article,Climate change perceptions; Latin America; Latinobarómetro; ND-Gain; Readiness; Vulnerability,"In Latin America, there is scarce comparative research on variables associated with the perception of climate change. This hinders the ability of governments to take mitigation and adaptation measures in the face of the phenomenon, as well as the ability of the population to cope with its effects. In order to fill that void, this research studies the relationship between climate change perception, vulnerability, and readiness in 17 countries of the region. To that end, perception indicators included in the Latinobarómetro 2017 survey are analyzed, contrasted with vulnerability and readiness indexes provided by the University of Notre Dame’s Global Adaptation Index. The analytical strategy includes the statistical description of the variables associated with the perception of climate change in countries of the region, clustering together those countries that display similar behavioral patterns in relation to their vulnerability and readiness indicators, as well as crosstabs with climate change indicators. The key findings indicate that it is possible to identify 3 patterns of behavior regarding the countries’ vulnerability and readiness, which account for high, intermediate, and low levels in those variables. These patterns indicate cross-cutting trends concerning variables such as the level of education and affinity for the market economy, as well as particularities differentiating each country from the rest. The main conclusion is the existence of a negative association between the affinity people express for the market economy and their acknowledgment of climate change as a relevant problem.",21906491 21906483,Journal of Environmental Studies and Sciences
